0,"[243.5201136325505, 14.345197861258146]","[195.68013284544264, 14.587304024881394]","[532.0449805238559, 263.5704646226825]","[483.61215583454305, 269.7746522136292]","[336.3592512687029, 491.7886362337333]","[50.08840284875649, 236.06344793817766]","[5.045837832301888, 234.7227446372783]","[291.5201240848738, 493.04074329483296]"
1,"[200.04256961408836, 10.822230343324147]","[167.3960534350119, 11.872986542147057]","[529.328421782982, 208.90053110065006]","[496.9735944328045, 215.96339909038457]","[369.5902912258717, 466.4854378028434]","[41.603593709164244, 261.5841206969068]","[11.60065987745307, 260.5673500201543]","[340.3066579717977, 467.94643095160757]"
2,"[156.51202040068597, 18.624804825409278]","[143.19371689769008, 25.995881326555313]","[515.0348146772125, 166.17466156047072]","[502.80863725222827, 179.4420229559292]","[393.22179696752465, 444.37986824810883]","[35.092033067094334, 289.89924545581886]","[24.227416795024215, 294.84655330212905]","[383.5672602724223, 451.6821384918772]"
3,"[96.80236209250504, 24.404160030195193]","[101.89291534441881, 36.382297002608006]","[468.32634019949325, 135.30342828594794]","[474.9969444367176, 153.02051759325641]","[373.8581129680245, 424.0977980766601]","[2.1463480560492214, 306.28495433062557]","[9.552590053965817, 315.627752981994]","[382.81353375171403, 435.68305161219126]"
4,"[95.89259333251385, 15.980212861346606]","[118.85209433457555, 30.94335733130645]","[469.7585694150062, 105.72131070694847]","[494.4922549235496, 126.3055076697098]","[390.41932997035383, 399.1001827113984]","[16.113543914378173, 302.4904392696346]","[41.34152158379089, 314.71438800909226]","[417.40796923493986, 413.49551424175405]"
5,"[96.34720272079662, 24.71402173887165]","[130.36189415472043, 41.68802109999862]","[468.8342615583049, 103.72325902960594]","[504.6836274599394, 126.24856724861885]","[396.7454503380667, 398.96634360860094]","[23.72596225636331, 313.12386701975106]","[59.99276645008663, 327.3138825996632]","[434.87694614289296, 415.29245651874703]"
6,"[89.24966552563012, 2.153431696604197]","[122.32061731242243, 23.10758953152182]","[461.8658300876519, 80.68064516216029]","[496.76356341065843, 107.15672771369984]","[388.9894455293606, 375.47468188483634]","[15.85236527072465, 290.1475000980583]","[51.178668654085925, 308.3445394429479]","[426.1707115108223, 395.8288322358009]"
7,"[101.15466334953284, 23.765590957487984]","[131.56956601321093, 48.65568297297314]","[472.5541801976501, 110.23153314719157]","[504.67919583097137, 140.6575356869277]","[392.6350221848069, 402.84379208042145]","[20.861890479187124, 309.59716784832216]","[53.58743217105611, 331.8041751498001]","[427.153471414742, 427.26519685017337]"
8,"[89.63464649548771, 15.710631451413082]","[116.07464142660397, 39.58904517583643]","[459.84199090244675, 112.53983851377917]","[487.87731644032095, 142.01394145427506]","[372.62973888413273, 403.1474199024219]","[2.1945855900501936, 299.51259682844966]","[30.99540750385674, 320.75890470347576]","[403.1515577842808, 426.64718612346724]"
9,"[89.39408314935822, 20.88379177452541]","[110.80540872795471, 42.14559684440471]","[460.3482044900819, 121.49422792971652]","[483.35343951042137, 148.38880646988807]","[371.3333887827429, 411.6844713838618]","[0.16025127876978795, 304.24088023954937]","[23.92427035448362, 322.87242837221265]","[396.77981092442735, 432.5707068110055]"
10,"[105.1497623966454, 16.664637557658494]","[124.01926824362852, 34.18719391063283]","[478.6742241773961, 111.2804281024925]","[499.26520473193426, 134.43231626446473]","[395.2789764180887, 403.33907380796666]","[21.384131997695167, 301.8667911811309]","[42.53992996869951, 316.69625306952605]","[418.14488822005086, 420.3761336297981]"
11,"[71.99780521438407, 5.667043684376683]","[91.5111341915977, 19.90098111048629]","[450.477492539749, 78.90601417915668]","[472.03954647738584, 98.675918439598]","[384.2398159637784, 375.4582103682289]","[4.988650203047293, 295.3786385620262]","[26.625691634267135, 306.7784587563539]","[407.71084676265065, 388.9517861176798]"
12,"[54.66568380869195, 5.19795021672299]","[79.17924819885071, 16.890933147239327]","[437.6544086328268, 40.1476908599313]","[464.73537315884636, 57.14644099368407]","[401.3789576394044, 341.881933741168]","[16.963677587573965, 300.19983298989035]","[43.32591322536335, 308.85671191761566]","[429.79429181068514, 352.43511734372504]"
13,"[18.884053459544592, 45.642049023107894]","[50.436109392487595, 50.021999171326435]","[400.7647727911325, 18.41011526824773]","[435.67610427933073, 27.62824875464353]","[414.1641307004496, 322.12164842077243]","[29.816871880382653, 342.92094586081555]","[62.72467932339299, 343.9866066927601]","[449.4332989430179, 324.70732242045904]"
14,"[9.257754020276455, 124.21157777629145]","[40.94800474989722, 120.18128842220534]","[372.2076823173413, 2.5599411973584485]","[408.3591567900711, 2.3780448389233517]","[461.0643549735821, 293.29911896326297]","[94.11924529161556, 409.3354332406929]","[126.29438728574661, 401.755282722082]","[495.90594913925895, 286.5989948511314]"
15,"[18.282238614567312, 248.2834951782418]","[38.45732370283982, 238.09559198569266]","[326.73910517604736, 17.2029774312439]","[352.42359481076693, 9.23206727961203]","[502.94438686735316, 264.972595915606]","[188.86196262235228, 492.0126178685116]","[208.33242195086046, 478.3218733299516]","[525.1803553774013, 251.2928363846875]"
