0,"[260.8693135893355, 8.59017826058942, 1339.8355075990346]","[213.02933280222763, 8.832284424212668, 1153.2897911461498]","[549.3941804806409, 257.81544502201376, 1267.1533434582643]","[500.961355791328, 264.0196326129605, 1081.5760992796218]","[353.70845122548786, 486.0336166330646, 1312.5608485065006]","[67.43760280554149, 230.30842833750893, 1383.735572209268]","[22.39503778908688, 228.96772503660958, 1195.3432007042118]","[308.8693240416588, 487.28572369416423, 1122.7955967075995]"
1,"[200.34306345962455, 20.996860937167373, 1361.8617849148384]","[167.6965472805481, 22.047617135990283, 1172.0694573649469]","[529.6289156285183, 219.0751616944933, 1307.287581103603]","[497.2740882783406, 226.1380296842278, 1118.2732296620031]","[369.89078507140783, 476.66006839668665, 1331.2046354301597]","[41.90408755470044, 271.75875129075, 1384.6123912187597]","[11.901153722989264, 270.74198061399755, 1193.2459732432367]","[340.60715181733383, 478.1210615454508, 1138.4267834568054]"
2,"[143.316625163927, 22.579349323964383, 1366.0305490970827]","[129.9983216609311, 29.95042582511042, 1174.0505586630748]","[501.8394194404535, 170.12920605902582, 1347.7829423293829]","[489.61324201546927, 183.39656745448428, 1156.739382597148]","[380.02640173076566, 448.33441274666393, 1361.9861705069993]","[21.89663783033538, 293.85378995437395, 1379.0455159917096]","[11.032021558265257, 298.80109780068415, 1185.7069527193087]","[370.3718650356633, 455.6366829904323, 1167.367485228606]"
3,"[94.78603213894506, 0.9962598401413697, 1367.36178692711]","[99.87658539085884, 12.974396812554183, 1175.2195552176677]","[466.31001024593326, 111.89552809589412, 1385.0766220387088]","[472.98061448315764, 129.6126174032026, 1194.1191613476533]","[371.8417830144645, 400.6898978866063, 1395.6523500631326]","[0.13001810248924328, 282.8770541405717, 1376.6074149743656]","[7.536260100405839, 292.2198527919401, 1183.2678807793902]","[380.79720379815404, 412.2751514221374, 1201.2081466830757]"
4,"[87.7878405756133, 9.678492242716933, 1316.1135253255827]","[110.747341577675, 24.641636712676778, 1125.490881535993]","[461.65381665810565, 99.4195900883188, 1369.1540445206826]","[486.387502166649, 120.00378705108012, 1179.977725588974]","[382.3145772134533, 392.7984620927687, 1377.6630132042778]","[8.008791157477619, 296.1887186510049, 1323.1290982964592]","[33.23676882689034, 308.41266739046256, 1131.461573635059]","[409.3032164780393, 407.19379362312435, 1185.0822413972835]"
5,"[73.89116595415835, 2.8466852906947504, 1304.1143465288453]","[107.90585738808217, 19.820684651821722, 1115.3210446975336]","[446.37822479166664, 81.85592258142904, 1379.3038458785122]","[482.2275906933011, 104.38123080044195, 1192.1392726760012]","[374.28941357142844, 377.099007160424, 1387.8481016946064]","[1.269925489725049, 291.2565305715741, 1311.0383197498882]","[37.536729683448364, 305.44654615148625, 1121.2866974608608]","[412.4209093762547, 393.4251200705701, 1197.3161806054302]"
6,"[80.32830428680138, 23.267235160086557, 1277.379724995686]","[113.39925607359369, 44.22139299500418, 1088.8186947657616]","[452.94446884882313, 101.79444862564264, 1352.4343720440709]","[487.8422021718297, 128.2705311771822, 1165.607421981642]","[380.06808429053183, 396.5884853483187, 1367.3939338284047]","[6.931004031895904, 311.2613035615407, 1290.5811532354267]","[42.25730741525718, 329.4583429064303, 1100.9941393387753]","[417.24935027199353, 416.9426356992833, 1177.0620449802493]"
7,"[80.70966783428067, 18.618954824123943, 1268.7309960767905]","[111.12457049795877, 43.5090468396091, 1080.2013068513395]","[452.10918468239794, 105.08489701382753, 1341.0398414372735]","[484.2342003157192, 135.51089955356366, 1154.3170904185513]","[372.19002666955475, 397.6971559470574, 1361.7587725590338]","[0.4168949639349523, 304.4505317149581, 1287.5831870261104]","[33.142436655803934, 326.65753901643603, 1097.9567027535077]","[406.7084758994898, 422.1185607168093, 1171.4037423107297]"
8,"[98.88599462872355, 3.277894230508216, 1281.0961796467502]","[125.32598955983981, 27.15630795493157, 1091.8376930997179]","[469.0933390356826, 100.1071012928743, 1346.0050095388003]","[497.1286645735568, 129.5812042333702, 1158.4725009280867]","[381.8810870173686, 390.71468268151705, 1365.486712227604]","[11.445933723286029, 287.0798596075448, 1298.7796471710867]","[40.246755637092576, 308.3261674825709, 1108.4078455599483]","[412.40290591751665, 414.21444890256237, 1174.3345596172207]"
9,"[112.90011641218453, 20.92016096973938, 1278.664809130649]","[134.31144199078102, 42.181966039618686, 1088.4609251372792]","[483.8542377529082, 121.5305971249305, 1332.638037569647]","[506.85947277324766, 148.42517566510205, 1144.0363811220047]","[394.83942204556917, 411.72084057907574, 1350.0812365575055]","[23.666284541596106, 304.2772494347633, 1294.4162691587094]","[47.43030361730994, 322.9087975674266, 1103.0776881002853]","[420.28584418725364, 432.6070760062194, 1157.885475264834]"
10,"[95.68509658129787, 13.768849531364333, 1284.85601070621]","[114.55460242828099, 31.291405884338666, 1094.0028512564045]","[469.2095583620486, 108.38464007619834, 1331.437745561312]","[489.80053891658673, 131.53652823817058, 1142.0620723550444]","[385.81431060274116, 400.4432857816725, 1345.0487749920903]","[11.91946618234764, 298.97100315483675, 1296.9007422972045]","[33.07526415335199, 313.8004650432319, 1104.9246108063014]","[408.68022240470333, 417.48034560350396, 1152.1502147095089]"
11,"[89.8168951588183, 10.529462436168217, 1287.020840926918]","[109.33022413603193, 24.763399862277822, 1095.9589354575073]","[468.2965824841832, 83.76843293094822, 1332.0953223337315]","[489.85863642182005, 103.53833719138953, 1142.4446626367182]","[402.05890590821264, 380.32062912002044, 1342.4705399012148]","[22.807740147481514, 300.24105731381775, 1295.9084595514262]","[44.44478157870135, 311.6408775081455, 1103.7517570205425]","[425.52993670708486, 393.8142048694713, 1149.3643514562748]"
12,"[53.19687041867148, 7.312046846389056, 1273.7380858997687]","[77.71043480883024, 19.005029776905392, 1083.0803139231152]","[436.18559524280636, 42.261787489597374, 1326.089606199469]","[463.2665597688259, 59.26053762335014, 1136.8785920850164]","[399.91014424938396, 343.9960303708341, 1334.967575022824]","[15.494864197553495, 302.31392961955646, 1281.1186491498636]","[41.85709983534288, 310.97080854728176, 1089.4094767837241]","[428.3254784206647, 354.54921397339115, 1142.3431607114871]"
13,"[3.7095031121103768, 51.39694662371383, 1260.3601837604713]","[35.26155904505338, 55.77689677193237, 1070.4304322544765]","[385.5902224436983, 24.165012868853665, 1324.1415868329525]","[420.5015539318965, 33.383146355249465, 1135.6757571535727]","[398.9895803530154, 327.8765460213783, 1328.3891555585274]","[14.642321532948436, 348.67584346142144, 1263.1451080021445]","[47.55012897595878, 349.741504293366, 1072.2570351264753]","[434.2587485955837, 330.4622200210649, 1136.6279343733117]"
14,"[16.786002146697935, 144.09897564814614, 1288.9641132287245]","[48.47625287631871, 140.06868629406003, 1099.049628577233]","[379.73593044376275, 22.447339069213143, 1353.0793084476197]","[415.8874049164925, 22.265442710778046, 1164.6219344471544]","[468.59260310000354, 313.1865168351177, 1356.7538477092073]","[101.64749341803704, 429.2228311125476, 1291.1865378098564]","[133.8226354121681, 421.6426805939367, 1100.3210947729503]","[503.4341972656804, 306.4863927229861, 1165.0140825537324]"
15,"[21.64269150601355, 250.80792371732073, 1312.3905476959962]","[41.81777659428606, 240.6200205247716, 1121.1388829339724]","[330.0995580674936, 19.72740597032284, 1358.2019565368842]","[355.7840477022132, 11.756495818690974, 1168.2021786645207]","[506.3048397587994, 267.49702445468495, 1358.6433888859426]","[192.22241551379852, 494.53704640759054, 1311.5554807773233]","[211.6928748423067, 480.8463018690305, 1119.3166175955553]","[528.5408082688475, 253.81726492376643, 1165.4041802025163]"
16,"[18.02508331406318, 315.04579317441954, 1360.1818549465097]","[15.654713485243152, 310.6484371016591, 1167.6641380722713]","[257.2471559923586, 9.447337723263482, 1365.1731834773318]","[260.872775789267, 5.682783393349419, 1173.350799434764]","[491.91191022767566, 202.3763825585793, 1352.9618452652992]","[246.09710453590466, 505.61596775832373, 1347.2131803209513]","[242.02509734162768, 498.080751005422, 1153.6958553709655]","[490.3958639029013, 194.1876323145116, 1158.1449777666612]"
17,"[52.927088372879204, 354.5495545230956, 1436.5587924604154]","[23.316465197723055, 363.7601123178256, 1246.4893227281245]","[217.12561224970196, 5.3271745946494695, 1395.0244271117162]","[193.53997878157992, 13.82838702786875, 1204.7756655150595]","[484.66772389123764, 144.1251902684562, 1355.0918671421944]","[313.4782754006279, 492.5061044604013, 1396.7706774695525]","[281.39464481279214, 499.088840483691, 1205.8528311988262]","[454.73006824477073, 149.61336581718206, 1162.4871356516612]"
18,"[50.21011369941397, 391.44703037096326, 1476.1059694036123]","[9.384233900595662, 413.60251697887645, 1289.2091833000402]","[139.11523287500304, 18.86243072396938, 1413.5030518885474]","[104.02841353910557, 39.15931785135136, 1225.939474694527]","[425.14263112770146, 104.49396289175512, 1356.1109953849912]","[329.24650017760774, 477.60604807914854, 1419.3843375912952]","[285.424678116301, 497.6990460899639, 1231.772410646161]","[383.08256992790035, 123.16272527745569, 1166.623807290768]"
19,"[54.187670115908034, 393.8824997512788, 1505.647299963989]","[15.1627054466354, 403.16256164422924, 1317.2887076782895]","[114.9727230690872, 11.755629927757969, 1475.2045325554357]","[81.53175194956883, 18.704781593810754, 1286.3750996015272]","[406.61474093796096, 70.67399231765141, 1412.6598286311037]","[338.897645856429, 453.90276694955713, 1443.6810021402632]","[296.73091260195713, 461.2964364035169, 1254.7640467112876]","[366.09854070131894, 76.36283778242607, 1222.0055854455334]"
