[(-205.1168892574193, -2423.074968529423, 1320.9186854431243), (-252.95687004452716, -2422.8328623658, 1134.3729689902395), (83.40797763388599, -2173.849701767999, 1248.236521302354), (34.97515294457321, -2167.645514177052, 1062.6592771237115), (-112.27775162126693, -1945.631530156948, 1293.6440263505904), (-398.5486000412133, -2201.3567184525036, 1364.8187500533577), (-443.5911650576679, -2202.697421753403, 1176.4263785483015), (-157.11687880509598, -1944.3794230958483, 1103.8787745516893)];
[(-217.02996906669563, -2467.987042479218, 1350.3143357115916), (-249.67648524577208, -2466.936286280395, 1160.5220081617001), (112.25588310219806, -2269.908741721892, 1295.7401319003563), (79.90105575202045, -2262.8458737321575, 1106.7257804587564), (-47.482247454912354, -2012.3238350196987, 1319.657186226913), (-375.46894497161975, -2217.2251521256353, 1373.064942015513), (-405.4718788033309, -2218.2419228023878, 1181.69852403999), (-76.76588070898633, -2010.8628418709345, 1126.8793342535587)];
[(-241.03753234722586, -2519.6521065118804, 1357.5302521820804), (-254.35583585022175, -2512.2810300107344, 1165.5502617480724), (117.48526192930069, -2372.102249776819, 1339.2826454143806), (105.25908450431643, -2358.8348883813605, 1148.2390856821457), (-4.327755780387207, -2093.897043089181, 1353.485873591997), (-362.4575196808175, -2248.377665881471, 1370.5452190767073), (-373.3221359528876, -2243.4303580351607, 1177.2066558043064), (-13.982292475489515, -2086.5947728454125, 1158.8671883136037)];
[(-261.3639780752691, -2574.5382719440713, 1345.1741644007925), (-256.2734248233553, -2562.5601349716585, 1153.0319326913502), (110.1600000317191, -2463.6390036883186, 1362.8889995123914), (116.83060426894347, -2445.92191438101, 1171.9315388213358), (15.691772800250362, -2174.8446338976064, 1373.4647275368152), (-356.0199921117249, -2292.657477643641, 1354.4197924480482), (-348.6137501138083, -2283.3146789922725, 1161.0802582530728), (24.64719358393988, -2163.2593803620753, 1179.0205241567583)];
[(-272.13584831322964, -2633.3118703534037, 1314.8269922553354), (-249.17634731116794, -2618.348725883444, 1124.2043484657456), (101.73012776926272, -2543.570772507802, 1367.8675114504354), (126.46381327780607, -2522.9865755450405, 1178.6911925187267), (22.39088832461036, -2250.191900503352, 1376.3764801340305), (-351.91489773136533, -2346.8016439451158, 1321.842565226212), (-326.6869200619526, -2334.577695205658, 1130.1750405648118), (49.37952758919634, -2235.7965689729963, 1183.7957083270362)];
[(-263.4153163303011, -2697.4420200641007, 1282.8834246427293), (-229.40062489637728, -2680.4680207029737, 1094.0901228114176), (109.07174250720722, -2618.4327827733664, 1358.0729239923962), (144.9211084088417, -2595.9074745543535, 1170.9083507898852), (36.982931286969006, -2323.1896981943714, 1366.6171798084904), (-336.0365567947344, -2409.0321747832213, 1289.8073978637722), (-299.7697526010111, -2394.842159203309, 1100.0557755747448), (75.11442709179529, -2306.8635852842253, 1176.0852587193142)];
[(-231.48210955958717, -2766.6821407087787, 1262.8294827702518), (-198.41115777279487, -2745.727982873861, 1074.2684525403274), (141.1340550024346, -2688.1549272432226, 1337.8841298186367), (176.03178832544114, -2661.678844691683, 1151.0571797562077), (68.25767044414329, -2393.3608905205465, 1352.8436916029705), (-304.87940981449265, -2478.6880723073245, 1276.0309110099925), (-269.55310643113137, -2460.491032962435, 1086.443897113341), (105.438936425605, -2373.006740169582, 1162.511802754815)];
[(-186.17194648363827, -2832.0735101145774, 1258.0783857336323), (-155.75704381996016, -2807.1834180990923, 1069.5486965081814), (185.227570364479, -2745.607567924874, 1330.3872310941154), (217.35258599780025, -2715.1815653851377, 1143.6644800753932), (105.30841235163578, -2452.995308991644, 1351.1061622158757), (-266.464719353984, -2546.241933223743, 1276.9305766829523), (-233.739177662115, -2524.0349259222653, 1087.3040924103495), (139.82686158157088, -2428.573904221892, 1160.7511319675716)];
[(-137.2237894935526, -2890.5144222387325, 1265.2632873530854), (-110.78379456243634, -2866.636008514309, 1076.004800806053), (232.98355491340646, -2793.6852151763665, 1330.1721172451355), (261.01888045128067, -2764.2111122358706, 1142.6396086344218), (145.77130289509245, -2503.0776337877237, 1349.653819933939), (-224.66385039899012, -2606.712456861696, 1282.9467548774219), (-195.86302848518358, -2585.46614898667, 1092.5749532662835), (176.2931217952405, -2479.5778675666784, 1158.501667323556)];
[(-97.83904709842454, -2945.4222700661753, 1274.9864356395192), (-76.42772151982805, -2924.160464996296, 1084.7825516461494), (273.11507424229916, -2844.811833910984, 1328.959664078517), (296.12030926263856, -2817.9172553708127, 1140.358007630875), (184.10025853496006, -2554.621590456839, 1346.4028630663756), (-187.07287896901298, -2662.0651816011514, 1290.7378956675796), (-163.30885989329914, -2643.433633468488, 1099.3993146091555), (209.5466806766446, -2533.7353550296953, 1154.2071017737042)];
